chain_id,transaction_id,transaction_date,credit_amount,currency,narration,reference
CHAIN000001,BTX0001,2026-08-26,898.27,INR,Settlement for PAY0001,SETTXN0001
CHAIN000002,BTX0002,2026-08-13,4458.76,INR,Settlement for PAY0002,SETTXN0002
CHAIN000003,BTX0003,2026-08-24,2153.29,INR,Settlement for PAY0003,SETTXN0003
CHAIN000004,BTX0004,2026-08-21,1901.30,INR,Settlement for PAY0004,SETTXN0004
CHAIN000005,BTX0005,2026-08-03,1007.96,INR,Settlement for PAY0005,SETTXN0005
CHAIN000006,BTX0006,2026-08-10,4033.83,INR,Settlement for PAY0006,SETTXN0006
CHAIN000007,BTX0007,2026-08-20,922.98,INR,Settlement for PAY0007,SETTXN0007
CHAIN000008,BTX0008,2026-08-19,9316.75,INR,Settlement for PAY0008,SETTXN0008
CHAIN000009,BTX0009,2026-08-21,7766.26,INR,Settlement for PAY0009,SETTXN0009
CHAIN000010,BTX0010,2026-08-27,598.85,INR,Settlement for PAY0010,SETTXN0010
CHAIN000011,BTX0011,2026-08-13,7336.40,INR,Settlement for PAY0011,SETTXN0011
CHAIN000012,BTX0012,2026-08-09,3011.05,INR,Settlement for PAY0012,SETTXN0012
CHAIN000013,BTX0013,2026-08-05,2148.35,INR,Settlement for PAY0013,SETTXN0013
CHAIN000014,BTX0014,2026-08-14,2059.41,INR,Settlement for PAY0014,SETTXN0014
CHAIN000015,BTX0015,2026-08-28,4775.97,INR,Settlement for PAY0015,SETTXN0015
CHAIN000016,BTX0016,2026-08-23,7932.28,INR,Settlement for PAY0016,SETTXN0016
CHAIN000017,BTX0017,2026-08-05,6621.93,INR,Settlement for PAY0017,SETTXN0017
CHAIN000019,BTX0019,2026-08-21,6349.18,INR,Settlement for PAY0019,SETTXN0019
CHAIN000020,BTX0020,2026-08-04,1619.66,INR,Settlement for PAY0020,SETTXN0020
CHAIN000021,BTX0021,2026-08-05,5179.16,INR,Settlement for PAY0021,SETTXN0021
CHAIN000022,BTX0022,2026-08-15,2128.58,INR,Settlement for PAY0022,SETTXN0022
CHAIN000023,BTX0023,2026-08-23,7834.45,INR,Settlement for PAY0023,SETTXN0023
CHAIN000024,BTX0024,2026-08-14,3126.66,INR,Settlement for PAY0024,SETTXN0024
CHAIN000025,BTX0025,2026-08-24,3885.60,INR,Settlement for PAY0025,SETTXN0025
CHAIN000026,BTX0026,2026-08-22,1649.31,INR,Settlement for PAY0026,SETTXN0026
CHAIN000027,BTX0027,2026-08-26,9141.84,INR,Settlement for PAY0027,SETTXN0027
CHAIN000028,BTX0028,2026-08-17,3139.51,INR,Settlement for PAY0028,SETTXN0028
CHAIN000029,BTX0029,2026-09-01,4863.92,INR,Settlement for PAY0029,SETTXN0029
CHAIN000030,BTX0030,2026-08-24,4049.64,INR,Settlement for PAY0030,SETTXN0030
CHAIN000031,BTX0031,2026-08-10,1399.29,INR,Settlement for PAY0031,SETTXN0031
CHAIN000032,BTX0032,2026-08-15,5601.12,INR,Settlement for PAY0032,SETTXN0032
CHAIN000033,BTX0033,2026-08-09,1515.31,INR,Settlement for PAY0033,SETTXN0033
CHAIN000034,BTX0034,2026-08-09,5588.27,INR,Settlement for PAY0034,SETTXN0034
CHAIN000035,BTX0035_COMBINED,2026-08-31,16041.45,INR,Combined settlement for PAY0035 and PAY0224,COMBINED-SETTXN0035-SETTXN0224
CHAIN000036,BTX0036,2026-08-14,2806.49,INR,Settlement for PAY0036,SETTXN0036
CHAIN000037,BTX0037,2026-08-26,4486.43,INR,Settlement for PAY0037,SETTXN0037
CHAIN000038,BTX0038,2026-08-14,9219.91,INR,Settlement for PAY0038,SETTXN0038
CHAIN000039,BTX0039,2026-08-31,7430.28,INR,Settlement for PAY0039,SETTXN0039
CHAIN000040,BTX0040,2026-08-14,6909.89,INR,Settlement for PAY0040,SETTXN0040
CHAIN000041,BTX0041,2026-08-19,2733.36,INR,Settlement for PAY0041,SETTXN0041
CHAIN000042,BTX0042,2026-08-27,1965.53,INR,Settlement for PAY0042,SETTXN0042
CHAIN000044,BTX0044,2026-08-22,7328.49,INR,Settlement for PAY0044,SETTXN0044
CHAIN000045,BTX0045,2026-08-15,6723.71,INR,Settlement for PAY0045,SETTXN0045
CHAIN000046,BTX0046,2026-08-19,8071.62,INR,Settlement for PAY0046,SETTXN0046
CHAIN000047,BTX0047,2026-08-30,9451.14,INR,Settlement for PAY0047,SETTXN0047
CHAIN000048,BTX0048,2026-08-27,2347.96,INR,Settlement for PAY0048,SETTXN0048
CHAIN000049,BTX0049,2026-08-27,4813.52,INR,Settlement for PAY0049,SETTXN0049
CHAIN000050,BTX0050,2026-08-12,2299.54,INR,Settlement for PAY0050,SETTXN0050
CHAIN000051,BTX0051,2026-08-20,3054.53,INR,Settlement for PAY0051,SETTXN0051
CHAIN000052,BTX0052,2026-08-19,4708.18,INR,Settlement for PAY0052,SETTXN0052
CHAIN000053,BTX0053,2026-09-01,8712.96,INR,Settlement for PAY0053,SETTXN0053
CHAIN000054,BTX0054,2026-08-29,5325.41,INR,Settlement for PAY0054,SETTXN0054
CHAIN000055,BTX0055,2026-08-07,3713.66,INR,Settlement for PAY0055,SETTXN0055
CHAIN000056,BTX0056,2026-08-20,3108.88,INR,Settlement for PAY0056,SETTXN0056
CHAIN000057,BTX0057,2026-08-22,502.99,INR,Settlement for PAY0057,SETTXN0057
