chain_id,order_id,merchant_id,customer_id,customer_name,order_amount,currency,order_date,status
CHAIN000001,ORD0001,MERCH001,CUST001,Aarav Sharma,909,INR,2026-08-24,COMPLETED
CHAIN000002,ORD0002,MERCH001,CUST003,Rohan Verma,4512,INR,2026-08-08,COMPLETED
CHAIN000003,ORD0003,MERCH001,CUST002,Ishita Patel,2179,INR,2026-08-22,COMPLETED
CHAIN000004,ORD0004,MERCH001,CUST005,Vikram Singh,1924,INR,2026-08-19,COMPLETED
CHAIN000005,ORD0005,MERCH001,CUST004,Ananya Joshi,1020,INR,2026-08-01,COMPLETED
CHAIN000006,ORD0006,MERCH001,CUST001,Aarav Sharma,4082,INR,2026-08-08,COMPLETED
CHAIN000007,ORD0007,MERCH001,CUST005,Vikram Singh,934,INR,2026-08-18,COMPLETED
CHAIN000008,ORD0008,MERCH001,CUST002,Ishita Patel,9428,INR,2026-08-14,COMPLETED
CHAIN000009,ORD0009,MERCH001,CUST002,Ishita Patel,7859,INR,2026-08-19,COMPLETED
CHAIN000010,ORD0010,MERCH001,CUST003,Rohan Verma,606,INR,2026-08-25,COMPLETED
CHAIN000011,ORD0011,MERCH001,CUST002,Ishita Patel,7424,INR,2026-08-11,COMPLETED
CHAIN000012,ORD0012,MERCH001,CUST003,Rohan Verma,3047,INR,2026-08-07,COMPLETED
CHAIN000013,ORD0013,MERCH001,CUST003,Rohan Verma,2174,INR,2026-08-03,COMPLETED
CHAIN000014,ORD0014,MERCH001,CUST004,Ananya Joshi,2084,INR,2026-08-12,COMPLETED
CHAIN000015,ORD0015,MERCH001,CUST003,Rohan Verma,4833,INR,2026-08-26,COMPLETED
CHAIN000016,ORD0016,MERCH001,CUST001,Aarav Sharma,8027,INR,2026-08-18,COMPLETED
CHAIN000017,ORD0017,MERCH001,CUST001,Aarav Sharma,6701,INR,2026-08-03,COMPLETED
CHAIN000018,ORD0018,MERCH001,CUST005,Vikram Singh,5303,INR,2026-08-27,COMPLETED
