chain_id,order_id,payment_id,settlement_id,bank_transaction_id,true_match,exception_type
CHAIN000001,ORD0001,PAY0001,SET0001,BTX0001,true,NONE
CHAIN000002,ORD0002,PAY0002,SET0002,BTX0002,true,NONE
CHAIN000003,ORD0003,PAY0003,SET0003,BTX0003,true,NONE
CHAIN000004,ORD0004,PAY0004,SET0004,BTX0004,true,NONE
CHAIN000005,ORD0005,PAY0005,SET0005,BTX0005,true,NONE
CHAIN000006,ORD0006,PAY0006,SET0006,BTX0006,true,NONE
CHAIN000007,ORD0007,PAY0007,SET0007,BTX0007,true,NONE
CHAIN000008,ORD0008,PAY0008,SET0008,BTX0008,true,NONE
CHAIN000009,ORD0009,PAY0009,SET0009,BTX0009,true,NONE
CHAIN000010,ORD0010,PAY0010,SET0010,BTX0010,true,NONE
CHAIN000011,ORD0011,PAY0011,SET0011,BTX0011,true,NONE
CHAIN000012,ORD0012,PAY0012,SET0012,BTX0012,true,NONE
CHAIN000013,ORD0013,PAY0013,SET0013,BTX0013,true,NONE
CHAIN000014,ORD0014,PAY0014,SET0014,BTX0014,true,NONE
CHAIN000015,ORD0015,PAY0015,SET0015,BTX0015,true,NONE
CHAIN000016,ORD0016,PAY0016,SET0016,BTX0016,true,NONE
CHAIN000017,ORD0017,PAY0017,SET0017,BTX0017,true,NONE
CHAIN000018,ORD0018,PAY0018,SET0018,BTX0018,true,NONE
CHAIN000019,ORD0019,PAY0019,SET0019,BTX0019,true,NONE
CHAIN000020,ORD0020,PAY0020,SET0020,BTX0020,true,NONE
CHAIN000021,ORD0021,PAY0021,SET0021,BTX0021,true,NONE
CHAIN000022,ORD0022,PAY0022,SET0022,BTX0022,true,NONE
CHAIN000023,ORD0023,PAY0023,SET0023,BTX0023,true,NONE
CHAIN000024,ORD0024,PAY0024,SET0024,BTX0024,true,NONE
CHAIN000025,ORD0025,PAY0025,SET0025,BTX0025,true,NONE
CHAIN000026,ORD0026,PAY0026,SET0026,BTX0026,true,NONE
