chain_id,order_id,merchant_id,customer_id,customer_name,order_amount,currency,order_date,status
HCHAIN000001,HORD0001,MERCH001,CUST004,Ananya Joshi,2658,INR,2026-08-01,COMPLETED
HCHAIN000002,HORD0002,MERCH001,CUST005,Vikram Singh,6894,INR,2026-08-13,COMPLETED
HCHAIN000003,HORD0003,MERCH001,CUST003,Rohan Verma,5007,INR,2026-08-06,COMPLETED
HCHAIN000004,HORD0004,MERCH001,CUST005,Vikram Singh,8587,INR,2026-08-01,COMPLETED
HCHAIN000005,HORD0005,MERCH001,CUST004,Ananya Joshi,3078,INR,2026-08-05,COMPLETED
HCHAIN000006,HORD0006,MERCH001,CUST005,Vikram Singh,8305,INR,2026-08-04,COMPLETED
HCHAIN000007,HORD0007,MERCH001,CUST001,Aarav Sharma,2577,INR,2026-08-17,COMPLETED
HCHAIN000008,HORD0008,MERCH001,CUST002,Ishita Patel,3446,INR,2026-08-11,COMPLETED
HCHAIN000009,HORD0009,MERCH001,CUST001,Aarav Sharma,3308,INR,2026-08-23,COMPLETED
HCHAIN000010,HORD0010,MERCH001,CUST002,Ishita Patel,9833,INR,2026-08-22,COMPLETED
HCHAIN000011,HORD0011,MERCH001,CUST002,Ishita Patel,7800,INR,2026-08-02,COMPLETED
HCHAIN000012,HORD0012,MERCH001,CUST003,Rohan Verma,6012,INR,2026-08-01,COMPLETED
HCHAIN000013,HORD0013,MERCH001,CUST003,Rohan Verma,3256,INR,2026-08-17,COMPLETED
HCHAIN000014,HORD0014,MERCH001,CUST003,Rohan Verma,6325,INR,2026-08-20,COMPLETED
HCHAIN000015,HORD0015,MERCH001,CUST004,Ananya Joshi,7113,INR,2026-08-11,COMPLETED
HCHAIN000016,HORD0016,MERCH001,CUST003,Rohan Verma,3248,INR,2026-08-12,COMPLETED
HCHAIN000017,HORD0017,MERCH001,CUST005,Vikram Singh,9671,INR,2026-08-16,COMPLETED
HCHAIN000018,HORD0018,MERCH001,CUST003,Rohan Verma,7719,INR,2026-08-03,COMPLETED
HCHAIN000019,HORD0019,MERCH001,CUST004,Ananya Joshi,4704,INR,2026-08-06,COMPLETED
HCHAIN000020,HORD0020,MERCH001,CUST005,Vikram Singh,3220,INR,2026-08-30,COMPLETED
HCHAIN000021,HORD0021,MERCH001,CUST003,Rohan Verma,8373,INR,2026-08-09,COMPLETED
HCHAIN000022,HORD0022,MERCH001,CUST001,Aarav Sharma,2163,INR,2026-08-24,COMPLETED
HCHAIN000023,HORD0023,MERCH001,CUST004,Ananya Joshi,7552,INR,2026-08-22,COMPLETED
HCHAIN000024,HORD0024,MERCH001,CUST004,Ananya Joshi,8233,INR,2026-08-08,COMPLETED
HCHAIN000025,HORD0025,MERCH001,CUST004,Ananya Joshi,4171,INR,2026-08-04,COMPLETED
HCHAIN000026,HORD0026,MERCH001,CUST005,Vikram Singh,7821,INR,2026-08-14,COMPLETED
HCHAIN000027,HORD0027,MERCH001,CUST005,Vikram Singh,7400,INR,2026-08-08,COMPLETED
HCHAIN000028,HORD0028,MERCH001,CUST002,Ishita Patel,6479,INR,2026-08-23,COMPLETED
HCHAIN000029,HORD0029,MERCH001,CUST002,Ishita Patel,9162,INR,2026-08-13,COMPLETED
HCHAIN000030,HORD0030,MERCH001,CUST001,Aarav Sharma,5571,INR,2026-08-29,COMPLETED
HCHAIN000031,HORD0031,MERCH001,CUST001,Aarav Sharma,9256,INR,2026-08-07,COMPLETED
HCHAIN000032,HORD0032,MERCH001,CUST001,Aarav Sharma,7438,INR,2026-08-01,COMPLETED
HCHAIN000033,HORD0033,MERCH001,CUST001,Aarav Sharma,9594,INR,2026-08-14,COMPLETED
HCHAIN000034,HORD0034,MERCH001,CUST005,Vikram Singh,9959,INR,2026-08-07,COMPLETED
HCHAIN000035,HORD0035,MERCH001,CUST003,Rohan Verma,7512,INR,2026-08-16,COMPLETED
HCHAIN000036,HORD0036,MERCH001,CUST002,Ishita Patel,7425,INR,2026-08-12,COMPLETED
HCHAIN000037,HORD0037,MERCH001,CUST002,Ishita Patel,3160,INR,2026-08-26,COMPLETED
HCHAIN000038,HORD0038,MERCH001,CUST004,Ananya Joshi,8702,INR,2026-08-01,COMPLETED
HCHAIN000039,HORD0039,MERCH001,CUST005,Vikram Singh,6709,INR,2026-08-21,COMPLETED
HCHAIN000040,HORD0040,MERCH001,CUST001,Aarav Sharma,8437,INR,2026-08-26,COMPLETED
HCHAIN000041,HORD0041,MERCH001,CUST005,Vikram Singh,4147,INR,2026-08-15,COMPLETED
HCHAIN000042,HORD0042,MERCH001,CUST003,Rohan Verma,5360,INR,2026-08-04,COMPLETED
HCHAIN000043,HORD0043,MERCH001,CUST005,Vikram Singh,9451,INR,2026-08-23,COMPLETED
HCHAIN000044,HORD0044,MERCH001,CUST002,Ishita Patel,903,INR,2026-08-01,COMPLETED
HCHAIN000045,HORD0045,MERCH001,CUST002,Ishita Patel,1311,INR,2026-08-17,COMPLETED
HCHAIN000046,HORD0046,MERCH001,CUST004,Ananya Joshi,2612,INR,2026-08-07,COMPLETED
HCHAIN000047,HORD0047,MERCH001,CUST002,Ishita Patel,5785,INR,2026-08-12,COMPLETED
HCHAIN000048,HORD0048,MERCH001,CUST002,Ishita Patel,5653,INR,2026-08-04,COMPLETED
HCHAIN000049,HORD0049,MERCH001,CUST002,Ishita Patel,8041,INR,2026-08-15,COMPLETED
HCHAIN000050,HORD0050,MERCH001,CUST005,Vikram Singh,761,INR,2026-08-29,COMPLETED
HCHAIN000051,HORD0051,MERCH001,CUST003,Rohan Verma,4968,INR,2026-08-08,COMPLETED
HCHAIN000052,HORD0052,MERCH001,CUST003,Rohan Verma,2068,INR,2026-08-27,COMPLETED
HCHAIN000053,HORD0053,MERCH001,CUST002,Ishita Patel,9975,INR,2026-08-05,COMPLETED
HCHAIN000054,HORD0054,MERCH001,CUST002,Ishita Patel,1677,INR,2026-08-05,COMPLETED
