chain_id,order_id,merchant_id,customer_id,customer_name,order_amount,currency,order_date,status
CHAIN000001,ORD0001,MERCH001,CUST001,Aarav Sharma,909,INR,2026-08-24,COMPLETED
CHAIN000002,ORD0002,MERCH001,CUST003,Rohan Verma,4512,INR,2026-08-08,COMPLETED
CHAIN000003,ORD0003,MERCH001,CUST002,Ishita Patel,2179,INR,2026-08-22,COMPLETED
CHAIN000004,ORD0004,MERCH001,CUST005,Vikram Singh,1924,INR,2026-08-19,COMPLETED
CHAIN000005,ORD0005,MERCH001,CUST004,Ananya Joshi,1020,INR,2026-08-01,COMPLETED
CHAIN000006,ORD0006,MERCH001,CUST001,Aarav Sharma,4082,INR,2026-08-08,COMPLETED
CHAIN000007,ORD0007,MERCH001,CUST005,Vikram Singh,934,INR,2026-08-18,COMPLETED
CHAIN000008,ORD0008,MERCH001,CUST002,Ishita Patel,9428,INR,2026-08-14,COMPLETED
CHAIN000009,ORD0009,MERCH001,CUST002,Ishita Patel,7859,INR,2026-08-19,COMPLETED
CHAIN000010,ORD0010,MERCH001,CUST003,Rohan Verma,606,INR,2026-08-25,COMPLETED
